block_length,seed,test,memory_events,alternative,status,error,statistic,p_value,reject_at_alpha,alpha,n_resamples,n_randomized_units,n_focal_events,randomization_seed,elapsed_seconds
1000,1005,carryover_crt,2500,two-sided,ok,,-0.47979757980352417,0.36081959020489757,False,0.05,2000,83,43500,3253066685,0.014357100008055568
1000,1005,carryover_crt,5000,two-sided,ok,,-2.1533794632068854,0.0029985007496251873,True,0.05,2000,41,41000,568956075,0.014512099995044991
1000,1005,carryover_crt,10000,two-sided,ok,,-0.9263072533795441,0.38780609695152424,False,0.05,2000,22,22000,1378930325,0.012340799992671236
1000,1005,total_effect_crt,5000,greater,ok,,-0.5831749908104539,0.5507246376811594,False,0.05,2000,4,4000,3356159108,0.009784199995920062
1000,1006,anticipation_pirt,-1,greater,ok,,0.0031497517676027736,0.881559220389805,False,0.05,2000,499,2000,4256232263,0.033680399996228516
1000,1006,carryover_crt,0,two-sided,ok,,0.14334287671697138,0.624687656171914,False,0.05,2000,250,250000,2304382710,0.02916979999281466
1000,1006,carryover_crt,1000,two-sided,ok,,0.3275363127979637,0.45827086456771615,False,0.05,2000,125,125000,3375712702,0.018830100016202778
1000,1006,carryover_crt,2500,two-sided,ok,,0.17815854877748769,0.7386306846576711,False,0.05,2000,83,43500,1827478283,0.01690190000226721
1000,1006,carryover_crt,5000,two-sided,ok,,0.2405282874695229,0.7766116941529235,False,0.05,2000,41,41000,1395455023,0.012366599985398352
1000,1006,carryover_crt,10000,two-sided,ok,,-0.39429271636242896,0.6916541729135433,False,0.05,2000,22,22000,2687844339,0.009532099997159094
1000,1006,total_effect_crt,5000,greater,ok,,-2.7534599392563104,1.0,False,0.05,2000,1,1000,1889025372,0.00964390000444837
1000,1007,anticipation_pirt,-1,greater,ok,,-0.0015034253248401232,0.44577711144427784,False,0.05,2000,499,2000,43069740,0.029865800024708733
1000,1007,carryover_crt,0,two-sided,ok,,0.717872143148914,0.014992503748125937,True,0.05,2000,250,250000,1716872525,0.025339000014355406
1000,1007,carryover_crt,1000,two-sided,ok,,0.020818559526711623,0.95952023988006,False,0.05,2000,125,125000,3295712105,0.022654100001091138
1000,1007,carryover_crt,2500,two-sided,ok,,-0.29375054867626654,0.5812093953023488,False,0.05,2000,83,43500,3517133289,0.013617100019473583
1000,1007,carryover_crt,5000,two-sided,ok,,0.2707346279072324,0.7001499250374813,False,0.05,2000,41,41000,2207667019,0.011234800011152402
1000,1007,carryover_crt,10000,two-sided,ok,,0.4567008973099292,0.6451774112943528,False,0.05,2000,22,22000,2255369826,0.011077700008172542
1000,1007,total_effect_crt,5000,greater,ok,,-1.7084899589531124,0.8050974512743628,False,0.05,2000,4,4000,3782287703,0.008859300025505945
1000,1008,anticipation_pirt,-1,greater,ok,,-0.002968077729706283,0.06546726636681659,False,0.05,2000,499,1000,116107434,0.033590100007131696
1000,1008,carryover_crt,0,two-sided,ok,,0.4734183889624477,0.12593703148425786,False,0.05,2000,250,250000,1830465816,0.02712529999553226
1000,1008,carryover_crt,1000,two-sided,ok,,0.7512209423224627,0.0734632683658171,False,0.05,2000,125,125000,4141348090,0.019744099990930408
1000,1008,carryover_crt,2500,two-sided,ok,,0.28051739210075277,0.5882058970514743,False,0.05,2000,83,43500,1909732923,0.01955429997178726
1000,1008,carryover_crt,5000,two-sided,ok,,0.4463829166665673,0.5397301349325337,False,0.05,2000,41,41000,3369933933,0.012356500024907291
1000,1008,carryover_crt,10000,two-sided,ok,,0.9309927056843247,0.36881559220389803,False,0.05,2000,22,22000,1863420714,0.011401800002204254
1000,1008,total_effect_crt,5000,greater,ok,,-3.0964499302059414,1.0,False,0.05,2000,2,2000,1861501352,0.009888600005069748
1000,1009,anticipation_pirt,-1,greater,ok,,0.0029752204361689735,0.9945027486256871,False,0.05,2000,499,1000,556884837,0.028262500010896474
