block_length,seed,n_events,n_blocks,treated_block_share,treated_event_share,mean_reward,mean_reward_control,mean_reward_treated,naive_effect,pure_history_memory,pure_history_share,pure_history_ht,generation_seconds,includes_compilation,jax_backend,file_size_megabytes
1000,1000,500000,500,0.49,0.49,2.2114744186401367,1.858956813812256,2.578381061553955,0.7194242477416992,5000,0.0242424242424242,0.877908018530258,144.96730899999966,True,cpu,0.6421051025390625
1000,1001,500000,500,0.51,0.51,2.222467422485352,1.8385589122772217,2.591320276260376,0.7527613639831543,5000,0.0222222222222222,1.849638746778652,101.4024980000031,False,cpu,0.6394214630126953
1000,1002,500000,500,0.484,0.484,2.229824542999268,1.8425372838974,2.642716884613037,0.8001796007156372,5000,0.0242424242424242,0.9572615509432976,116.93379740000093,True,cpu,0.6457042694091797
1000,1003,500000,500,0.496,0.496,2.228607416152954,1.8794264793396,2.583421230316162,0.7039947509765625,5000,0.0242424242424242,3.567935272919529,102.67621620000136,False,cpu,0.6445446014404297
1000,1004,500000,500,0.518,0.518,2.280998468399048,1.8272559642791748,2.703207492828369,0.8759515285491943,5000,0.0242424242424242,2.550635254386218,105.35667359999934,False,cpu,0.6454782485961914
1000,1005,500000,500,0.448,0.448,2.199018239974976,1.859101295471192,2.6178441047668457,0.7587428092956543,5000,0.0383838383838383,0.1523148231275153,102.35352440000132,False,cpu,0.6482086181640625
1000,1006,500000,500,0.498,0.498,2.211478471755981,1.851211667060852,2.5746397972106934,0.7234281301498413,5000,0.0101010101010101,-0.962369917901598,100.474847700003,False,cpu,0.6401777267456055
1000,1007,500000,500,0.506,0.506,2.2510194778442383,1.827176213264465,2.664811134338379,0.8376349210739136,5000,0.0323232323232323,0.2166975285951537,103.539540699996,False,cpu,0.6430397033691406
1000,1008,500000,500,0.504,0.504,2.2741174697875977,1.8545095920562744,2.6870641708374023,0.8325545787811279,5000,0.0141414141414141,-0.6381420469332223,103.51952280000114,False,cpu,0.6474227905273438
1000,1009,500000,500,0.476,0.476,2.21028470993042,1.7907358407974243,2.672140598297119,0.8814047574996948,5000,0.0484848484848484,3.630330747215434,100.8326831000013,False,cpu,0.6415777206420898
1000,1010,500000,500,0.506,0.506,2.262562990188598,1.8557268381118768,2.659749984741211,0.8040231466293335,5000,0.0262626262626262,1.7062438416052346,103.6461569000021,False,cpu,0.6457920074462891
1000,1011,500000,500,0.48,0.48,2.2150821685791016,1.836735725402832,2.624957799911499,0.788222074508667,5000,0.0363636363636363,2.606470400618303,100.80396380000457,False,cpu,0.6432266235351562
1000,1012,500000,500,0.486,0.486,2.1958937644958496,1.830412983894348,2.5824310779571533,0.7520180940628052,5000,0.0161616161616161,-0.6945577199415727,102.1446913999971,False,cpu,0.6395320892333984
1000,1013,500000,500,0.446,0.446,2.1934354305267334,1.809170365333557,2.67075252532959,0.8615821599960327,5000,0.0646464646464646,-0.183831269085046,103.66596460000436,False,cpu,0.6448173522949219
1000,1014,500000,500,0.492,0.492,2.2442212104797363,1.8103251457214355,2.6922287940979004,0.8819036483764648,5000,0.0565656565656565,6.347755169158994,100.83602869999596,False,cpu,0.6444072723388672
1000,1015,500000,500,0.55,0.55,2.337213516235352,1.8537653684616089,2.732762575149536,0.8789972066879272,5000,0.0444444444444444,7.316704802115277,100.60459249999984,False,cpu,0.6469888687133789
1000,1016,500000,500,0.494,0.494,2.229707717895508,1.82939088344574,2.639748334884644,0.8103574514389038,5000,0.0444444444444444,6.589093342698704,103.44105420000416,False,cpu,0.6427879333496094
1000,1017,500000,500,0.49,0.49,2.2544758319854736,1.8735604286193848,2.6509392261505127,0.7773787975311279,5000,0.0303030303030303,1.83014395878026,100.58978119999664,False,cpu,0.6496791839599609
1000,1018,500000,500,0.498,0.498,2.1847245693206787,1.8060307502746584,2.5664596557617188,0.7604289054870605,5000,0.0202020202020202,0.6892696421972428,100.77204070000153,False,cpu,0.6345796585083008
1000,1019,500000,500,0.512,0.512,2.247288465499878,1.8645141124725344,2.6121206283569336,0.7476065158843994,5000,0.0363636363636363,-1.6692776998018977,103.1166957999958,False,cpu,0.6437511444091797
1000,1020,500000,500,0.502,0.502,2.2604122161865234,1.8327232599258425,2.684692859649658,0.8519695997238159,5000,0.0383838383838383,3.249897949335792,100.82036530000188,False,cpu,0.6452188491821289
1000,1021,500000,500,0.5,0.5,2.251993179321289,1.8678324222564693,2.6361536979675293,0.7683212757110596,5000,0.0323232323232323,-1.5515254625532362,101.54742629999964,False,cpu,0.6460056304931641
1000,1022,500000,500,0.53,0.53,2.269528388977051,1.872859597206116,2.6212918758392334,0.7484322786331177,5000,0.0262626262626262,-0.7410760235767172,102.8093611000004,False,cpu,0.6442756652832031
1000,1023,500000,500,0.522,0.522,2.2752668857574463,1.8896498680114744,2.628380298614502,0.7387304306030273,5000,0.0383838383838383,5.114882469734519,100.75133500000084,False,cpu,0.6471118927001953
1000,1024,500000,500,0.472,0.472,2.2220845222473145,1.8302757740020752,2.660378217697144,0.8301024436950684,5000,0.0323232323232323,2.288081402276261,102.552549299995,False,cpu,0.6452550888061523
1000,1025,500000,500,0.524,0.524,2.2863082885742188,1.8318161964416504,2.6991682052612305,0.8673520088195801,5000,0.0141414141414141,1.2671663553960395,102.0168887999971,False,cpu,0.6446409225463867
1000,1026,500000,500,0.506,0.506,2.2434234619140625,1.843450903892517,2.633910894393921,0.7904599905014038,5000,0.0181818181818181,1.311105262459649,100.64112500000192,False,cpu,0.6429843902587891
1000,1027,500000,500,0.526,0.526,2.265038251876831,1.8511139154434204,2.6380414962768555,0.7869275808334351,5000,0.0323232323232323,4.834169423344641,102.8699262999944,False,cpu,0.6425447463989258
1000,1028,500000,500,0.516,0.516,2.2826366424560547,1.868298053741455,2.6712796688079834,0.8029816150665283,5000,0.0222222222222222,0.2569399521321961,101.54661559999658,False,cpu,0.648015022277832
1000,1029,500000,500,0.506,0.506,2.2596964836120605,1.822328925132752,2.6866917610168457,0.8643628358840942,5000,0.0262626262626262,0.8137567494315331,101.9036849999975,False,cpu,0.6437835693359375
1000,1030,500000,500,0.518,0.518,2.249990463256836,1.870386838912964,2.6032118797302246,0.7328250408172607,5000,0.0242424242424242,1.9837646427833675,138.40587900001265,True,cpu,0.6414756774902344
1000,1031,500000,500,0.51,0.51,2.228822946548462,1.8136252164840696,2.627738237380981,0.8141130208969116,5000,0.0323232323232323,3.3516592338181503,140.25516749999952,False,cpu,0.6377706527709961
1000,1032,500000,500,0.488,0.488,2.2274363040924072,1.789810061454773,2.68658447265625,0.896774411201477,5000,0.0303030303030303,-1.4005914811278837,134.840558099997,False,cpu,0.6416702270507812
1000,1033,500000,500,0.508,0.508,2.296722412109375,1.846236109733581,2.7330198287963867,0.8867837190628052,5000,0.0303030303030303,2.26924730101884,134.58406110000217,False,cpu,0.6497573852539062
1000,1034,500000,500,0.506,0.506,2.235424280166626,1.835640549659729,2.625727415084839,0.7900868654251099,5000,0.0444444444444444,-1.004033273334214,142.87503540000762,False,cpu,0.6421327590942383
1000,1035,500000,500,0.498,0.498,2.23738956451416,1.822216749191284,2.6558969020843506,0.8336801528930664,5000,0.0262626262626262,-0.4041244355851953,139.06513730000006,False,cpu,0.6438093185424805
1000,1036,500000,500,0.512,0.512,2.2477054595947266,1.7972451448440552,2.6770496368408203,0.8798044919967651,5000,0.0363636363636363,3.285382391192456,127.46777570000268,False,cpu,0.6406059265136719
1000,1037,500000,500,0.504,0.504,2.227839469909668,1.855170488357544,2.5945932865142822,0.7394227981567383,5000,0.0282828282828282,-1.034406763673792,136.51339700000244,False,cpu,0.6413898468017578
1000,1038,500000,500,0.506,0.506,2.2213754653930664,1.8249082565307615,2.608439445495605,0.7835311889648438,5000,0.0343434343434343,4.477010643836223,124.04241289998754,False,cpu,0.6402578353881836
1000,1039,500000,500,0.496,0.496,2.230560541152954,1.870254635810852,2.596677303314209,0.7264226675033569,5000,0.0141414141414141,-0.5553635431513642,146.0729418999981,False,cpu,0.6446218490600586
1000,1040,500000,500,0.5,0.5,2.2286336421966557,1.8420259952545168,2.615241765975952,0.7732157707214355,5000,0.0161616161616161,0.2985050420144591,144.77064279999468,False,cpu,0.642695426940918
1000,1041,500000,500,0.534,0.534,2.294922113418579,1.84900176525116,2.684058666229248,0.8350569009780884,5000,0.0363636363636363,5.074049173890701,142.19695250000223,False,cpu,0.6451902389526367
1000,1042,500000,500,0.448,0.448,2.179597854614258,1.856101632118225,2.5781900882720947,0.7220884561538696,5000,0.0444444444444444,-1.823733616024316,139.4875508999976,False,cpu,0.645756721496582
1000,1043,500000,500,0.508,0.508,2.2614946365356445,1.8545846939086916,2.655588388442993,0.8010036945343018,5000,0.0222222222222222,-0.2023589454096977,135.9098309999972,False,cpu,0.6450281143188477
1000,1044,500000,500,0.472,0.472,2.2132489681243896,1.82736074924469,2.644920587539673,0.8175598382949829,5000,0.0202020202020202,0.6097027732316894,141.31628260000434,False,cpu,0.6440591812133789
1000,1045,500000,500,0.47,0.47,2.216497898101806,1.814424991607666,2.6698973178863525,0.8554723262786865,5000,0.0444444444444444,0.0825160359180334,133.36922340000456,False,cpu,0.6453104019165039
1000,1046,500000,500,0.47,0.47,2.2065269947052,1.800499677658081,2.6643874645233154,0.8638877868652344,5000,0.0444444444444444,-2.4199356199139297,139.44744009998976,False,cpu,0.6414499282836914
1000,1047,500000,500,0.488,0.488,2.247669219970703,1.825807809829712,2.690276622772217,0.8644688129425049,5000,0.0303030303030303,-0.3794230200319579,135.02440860000206,False,cpu,0.6457090377807617
1000,1048,500000,500,0.478,0.478,2.19484806060791,1.8205504417419436,2.603599071502685,0.7830486297607422,5000,0.0222222222222222,-1.040183572144701,137.159138300005,False,cpu,0.6405696868896484
1000,1049,500000,500,0.518,0.518,2.274080276489258,1.8389301300048828,2.678987979888916,0.8400578498840332,5000,0.0303030303030303,0.0078765238870273,128.50187690000166,False,cpu,0.6448879241943359
1000,1050,500000,500,0.446,0.446,2.1994307041168213,1.8238346576690676,2.665977001190185,0.8421423435211182,5000,0.0545454545454545,-1.5485943867914604,137.99183669999184,False,cpu,0.6464052200317383
1000,1051,500000,500,0.486,0.486,2.24477767944336,1.8436012268066408,2.669067859649658,0.8254666328430176,5000,0.0424242424242424,1.663865497263995,130.5953753000067,False,cpu,0.6470355987548828
1000,1052,500000,500,0.532,0.532,2.3055312633514404,1.8978155851364136,2.664199113845825,0.7663835287094116,5000,0.0303030303030303,2.426317520478277,134.22702170000412,False,cpu,0.6494264602661133
