block_length,n_trajectories,true_ate,naive_mean,naive_sd,naive_bias,naive_rmse,pure_history_ht_mean,pure_history_ht_sd,pure_history_ht_bias,pure_history_ht_rmse,pure_history_share_mean,treated_block_share_mean,median_generation_seconds
1000,100,1.278396906,0.8058350002765655,0.052095284896778817,-0.4725619057234345,0.47539618663001065,1.3314862755319734,2.190748854315297,0.053089369531973546,2.180414001609385,0.03212121212121208,0.5000000000000001,134.71230959999957
5000,100,1.278396906,1.2462875163555145,0.10223121167726924,-0.03210938964448548,0.10666640210457085,1.3630388049128725,0.8970887477600493,0.08464189891287241,0.896596224727549,0.49959595959595965,0.5003000000000002,151.7633834500084
10000,100,1.278396906,1.3058718609809876,0.11097447814443005,0.02747495498098754,0.11378512469844902,1.3173955646978224,1.0090071624803596,0.03899865869782222,1.0047066212469833,0.752222222222222,0.4966,153.31743104999623
